,Ticker,SimFinId,IndustryId,Fiscal Year,EPS,PE,EPS Growth Rate,PEG,Market Cap,Price to Book,Debt to Equity,Change in Working Capital,"Selling, General & Administrative",Research & Development,Adj. Close
2282,BMI,252337.0,101001.0,2019.0,1.6145448323066394,39.652042308752144,0.6958240054047677,56.98573489956868,1870664400.0,5.650393272681141,0.27433941063467326,9741000.0,-101380000.0,,64.02
2286,BMRA,245138.0,106003.0,2012.0,0.07716004439655312,10.886463409519815,,,5970517.56,1.199228053317436,0.11896596536318998,-606281.0,-1445049.0,-347128.0,0.84
2287,BMRA,245138.0,106003.0,2013.0,0.07206399902940674,10.823712401551708,-0.0660451326460619,-163.88357427573578,5811868.140000001,0.9960366951534141,0.09595434031294633,613077.0,-1454767.0,-459086.0,0.78
2288,BMRA,245138.0,106003.0,2014.0,-0.029258748082124746,-30.418252944449595,-1.4060106082953474,21.634440568929136,6560000.43,1.1091444439052769,0.09398037254062876,-742128.0,-1525936.0,-589866.0,0.89
2289,BMRA,245138.0,106003.0,2015.0,-0.04388221700995013,-29.396873902416946,-0.49979817614819294,58.817489349342104,9742417.98,1.739555966231707,0.09355077742781027,-305943.0,-1478761.0,-733640.0,1.29
2290,BMRA,245138.0,106003.0,2018.0,-0.17104119484309796,-9.93912607754798,-2.8977336720319986,3.4299653461866617,14569049.299999999,3.367963582933366,0.20731734945006372,71358.0,-1837787.0,-1398368.0,1.7
2291,BMRA,245138.0,106003.0,2019.0,-0.259760672308459,-11.626086324622031,-0.5187023953308237,22.41378954343756,27821922.14,6.98872941519278,0.31760952732625464,-186823.0,-2025706.0,-1679098.0,3.02
2296,BMRN,135371.0,106002.0,2009.0,-0.004866810942346242,-3864.9539139344256,,,1886097509.9999998,5.854082312956841,1.8466967735928115,19874000.0,-124290000.0,-115116000.0,18.81
2297,BMRN,135371.0,106002.0,2010.0,1.6377214061778889,16.443578192489518,337.50812114521125,0.04872054081748969,3384400820.0,4.7185329944496885,0.7603494981575641,-42093000.0,-151723000.0,-147309000.0,26.93
2298,BMRN,135371.0,106002.0,2012.0,-0.9507445685161011,-51.7489151442539,-1.5805288768466101,32.74151829955848,5917333200.0,5.825505752818325,0.5440087894518701,33059000.0,-198173000.0,-302218000.0,49.2
2299,BMRN,135371.0,106002.0,2013.0,-1.2801930964393307,-54.95264753080469,-0.3465163397540359,158.58602099344336,9691064250.0,7.22652346199706,0.6733716567949825,-8100000.0,-235356000.0,-354780000.0,70.35
2300,BMRN,135371.0,106002.0,2014.0,-0.9154076898373067,-98.75381319559003,0.28494561298340154,-346.5707443663734,13229949600.0,8.658944665009484,0.6201248254132813,-15884000.0,-302156000.0,-461543000.0,90.4
2302,BMRN,135371.0,106002.0,2018.0,-0.4355608457251168,-195.4950745360117,0.5942896970461888,-328.9558535301641,15094370200.000002,5.085807058094167,0.4916501007432765,-49420000.0,-604353000.0,-696328000.0,85.15
2303,BMRN,135371.0,106002.0,2019.0,-0.1332000290439513,-634.7596213518954,0.6941873211257054,-914.3924154687223,15137747450.0,4.848142315111448,0.502071335945229,-101092000.0,-680924000.0,-715007000.0,84.55
2306,BMS,687804.0,103018.0,2009.0,1.4210384069651838,16.07979058694072,,,2367282850.0,1.2784493080079042,1.1216941560731508,143874000.0,-370926000.0,-24342000.0,22.85
2307,BMS,687804.0,103018.0,2010.0,1.885110294117647,13.78168698196002,0.32657237473514195,42.20101897209554,2826624000.0,1.4665233326000606,1.2235964744800336,-74400000.0,-459100000.0,-34300000.0,25.98
2308,BMS,687804.0,103018.0,2012.0,1.672762271414822,16.936058688147295,-0.11264487991256633,-150.3491210722837,2943487000.0,1.793824730330916,1.5508562374306782,-20800000.0,-454200000.0,-35700000.0,28.33
2309,BMS,687804.0,103018.0,2013.0,2.046198267564966,17.403005644402636,0.2232451093210585,77.95470054116444,3699879000.0,2.196034544159544,1.4395773979107311,-28000000.0,-448500000.0,-40500000.0,35.61
2310,BMS,687804.0,103018.0,2014.0,1.8883399209486167,21.38915750915751,-0.07714714117327709,-277.2514597931268,4087468000.0,2.8523852058618284,1.5197487787857642,-167900000.0,-416600000.0,-44100000.0,40.39
2311,BMS,687804.0,103018.0,2015.0,2.4443309499489274,16.732595068951106,0.29443376313360253,56.829742930529704,4004110000.0,3.3163077687593177,1.890342885539175,123200000.0,-420000000.0,-44100000.0,40.9
2312,BMS,687804.0,103018.0,2018.0,2.466666666666667,18.39324324324324,0.009137762919626764,2012.8825189518618,4151355000.0,3.4142240315815444,1.936919154535735,22800000.0,-377900000.0,-38000000.0,45.37
2315,BMY,255210.0,106005.0,2008.0,2.6526794742163804,5.748904135696588,,,30164500000.0,2.470879750982962,1.4153014416775884,117000000.0,-5321000000.0,-3512000000.0,15.25
2316,BMY,255210.0,106005.0,2009.0,5.365015166835187,3.2618733509234827,1.0224890413569658,3.190130376942314,34615000000.0,2.341224213730132,1.097260737233683,42000000.0,-5082000000.0,-3647000000.0,17.5
2317,BMY,255210.0,106005.0,2010.0,1.7961783439490446,10.600283687943262,-0.665205355792385,-15.935355293879624,32882080000.0,2.1027036705461057,0.9872106407468986,-29000000.0,-4663000000.0,-3566000000.0,19.04
2318,BMY,255210.0,106005.0,2012.0,1.161137440758294,21.995673469387754,-0.353551141138113,-62.21355529664449,43111520000.0,3.1611321308109694,1.6321308109693504,-631000000.0,-5017000000.0,-3904000000.0,25.54
2319,BMY,255210.0,106005.0,2013.0,1.5421179302045729,28.14311353882169,0.3281097276455708,85.77348114842337,72130800000.0,4.73423470727225,1.5329482803885535,194000000.0,-4939000000.0,-3731000000.0,43.4
2320,BMY,255210.0,106005.0,2014.0,1.2,41.300000000000004,-0.22184939523995326,-186.16232852620467,82765200000.0,5.523940465861309,1.2524861509711005,242000000.0,-4822000000.0,-4534000000.0,49.56
2321,BMY,255210.0,106005.0,2015.0,0.93210244192972,63.3943194888179,-0.22324796505856662,-283.9637058827708,99212110000.0,6.878266084303938,1.2010537992235164,-1008000000.0,-4841000000.0,-5920000000.0,59.09
