,Ticker,Adj. Close,Year
215111,EEI,8.83,2015
215865,EEI,10.94,2018
216117,EEI,15.45,2019
216368,LXRX,21.21,2007
216621,LXRX,9.8,2008
216873,LXRX,11.9,2009
217125,LXRX,10.08,2010
217627,LXRX,15.47,2012
217879,LXRX,12.59,2013
218131,LXRX,6.37,2014
218383,LXRX,13.31,2015
219137,LXRX,6.64,2018
219389,LXRX,4.15,2019
219630,TSLA,5.33,2010
220132,TSLA,6.77,2012
220384,TSLA,30.09,2013
220636,TSLA,44.48,2014
220888,TSLA,48.0,2015
221642,TSLA,66.56,2018
221894,TSLA,83.67,2019
222256,NATI,16.66,2007
222509,NATI,12.37,2008
222761,NATI,15.26,2009
223013,NATI,19.83,2010
223515,NATI,21.14,2012
223767,NATI,26.73,2013
224019,NATI,26.47,2014
224271,NATI,25.06,2015
225025,NATI,42.58,2018
225277,NATI,40.65,2019
225639,CLC,34.06,2007
225892,CLC,30.05,2008
226144,CLC,29.75,2009
226396,CLC,39.77,2010
226898,CLC,45.2,2012
227150,CLC,61.72,2013
227402,CLC,64.68,2014
227654,CLC,48.73,2015
228220,WY,18.1,2007
228473,WY,7.88,2008
228725,WY,11.31,2009
228977,WY,13.29,2010
229479,WY,20.68,2012
229731,WY,24.11,2013
229983,WY,28.29,2014
230235,WY,24.58,2015
230989,WY,20.17,2018
231241,WY,29.36,2019
231603,ENG,11.36,2007
231856,ENG,3.25,2008
232108,ENG,3.13,2009
232360,ENG,3.72,2010
232862,ENG,0.51,2012
233114,ENG,1.4,2013
233366,ENG,1.9,2014
233618,ENG,0.97,2015
234372,ENG,0.57,2018
234624,ENG,0.98,2019
234986,AZO,119.91,2007
235239,AZO,139.47,2008
235491,AZO,158.07,2009
235743,AZO,272.59,2010
236245,AZO,354.43,2012
236497,AZO,477.94,2013
236749,AZO,619.11,2014
237001,AZO,741.91,2015
237755,AZO,838.34,2018
238007,AZO,1191.31,2019
238783,TPB,26.84,2018
239035,TPB,28.35,2019
239397,WFC,20.8,2007
239650,WFC,21.19,2008
239902,WFC,19.88,2009
240154,WFC,22.99,2010
240656,WFC,26.49,2012
240908,WFC,36.22,2013
241160,WFC,44.94,2014
241412,WFC,45.77,2015
242166,WFC,42.39,2018
242418,WFC,51.47,2019
242534,DELL,48.87,2018
242786,DELL,51.39,2019
243148,MSFT,26.48,2007
243401,MSFT,14.72,2008
243653,MSFT,23.63,2009
243905,MSFT,22.09,2010
244407,MSFT,22.32,2012
244659,MSFT,32.21,2013
244911,MSFT,41.08,2014
245163,MSFT,50.4,2015
245917,MSFT,98.58,2018
246169,MSFT,155.33,2019
246531,ITI,3.97,2007
246784,ITI,1.55,2008
247036,ITI,1.5,2009
247288,ITI,1.82,2010
247790,ITI,1.7,2012
248042,ITI,2.1,2013
248294,ITI,1.71,2014
248546,ITI,2.15,2015
249300,ITI,3.73,2018
249552,ITI,4.99,2019
249914,FFIV,28.52,2007
250167,FFIV,22.86,2008
250419,FFIV,52.97,2009
250671,FFIV,130.16,2010
